...
z=0.7575757575757577 q=-9893.866324644829, c_T=0.0007625454140633654, sigma_T=0.23189935716147678, A=2.765001374623256e-07, D=2.709296399912847e-07, B=6.382641088008903e-06, F=0.028714988004440663
z=0.7676767676767677 q=-8932.975649649745, c_T=0.0007909277700263059, sigma_T=0.16586805709796537, A=2.7092963999128464e-07, D=2.678763436630966e-07, B=6.671905720619921e-06, F=0.02916149023083981
z=0.7777777777777778 q=-8097.731205872772, c_T=0.0008190626313841627, sigma_T=0.12038177881187427, A=2.678763436630966e-07, D=2.6502080539329485e-07, B=6.96773263692299e-06, F=0.029604480656815837
z=0.787878787878788 q=-7353.1702129070345, c_T=0.0008475891571999879, sigma_T=0.08794675977041468, A=2.6502080539329485e-07, D=2.6223352413307566e-07, B=7.272683802192329e-06, F=0.03004730780591861
z=0.797979797979798 q=-6679.31329855329, c_T=0.0008769384779967153, sigma_T=0.06436565767991122, A=2.622335241330756e-07, D=2.59427665451571e-07, B=7.590137851327379e-06, F=0.03049120322758368
z=0.8080808080808082 q=-6061.952959325655, c_T=0.000907535004067954, sigma_T=0.04699753462294234, A=2.59427665451571e-07, D=2.5652744886837594e-07, B=7.923648240065925e-06, F=0.030937025505870703
z=0.8181818181818182 q=-5490.322590819964, c_T=0.0009398503019460094, sigma_T=0.034098510983862976, A=2.5652744886837594e-07, D=2.556930214461673e-07, B=8.279578337636937e-06, F=0.031385711084800476
z=0.8282828282828284 q=-4958.982567878154, c_T=0.00100601588119227, sigma_T=0.025544935941615853, A=2.556930214461673e-07, D=2.5788124294944107e-07, B=8.930399308550917e-06, F=0.03287567466194749
z=0.8383838383838385 q=-4474.197169295132, c_T=0.001092591314751302, sigma_T=0.0194179794923945, A=2.5788124294944107e-07, D=2.610070761973131e-07, B=9.771523675167373e-06, F=0.034923180925890654
z=0.8484848484848485 q=-4032.0153518698608, c_T=0.0011877226267867514, sigma_T=0.014714988951809348, A=2.6100707619731306e-07, D=2.641329094451851e-07, B=1.070458092535142e-05, F=0.037113023234605774
z=0.8585858585858587 q=-3627.1567753363383, c_T=0.0012929466711214003, sigma_T=0.011099288167662006, A=2.641329094451851e-07, D=2.6725874269305714e-07, B=1.1744580821133146e-05, F=0.03946686304962075
